NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
5,Jadiel Marzan,2/11,0/8,2/3,0/0,6,2.0,2,0.6666666666666666,3,1.0,5,1.6666666666666667,0,0.0,1,0.3333333333333333,7,2.3333333333333335,6,2.0,0,0.0,1,0.3333333333333333,1833,3
6,Darren,12/55,6/32,6/23,3/5,33,11.0,6,2.0,5,1.6666666666666667,11,3.6666666666666665,6,2.0,5,1.6666666666666667,8,2.6666666666666665,8,2.6666666666666665,0,0.0,11,3.6666666666666665,5612,3
7,Kaleb Serrano,8/23,7/20,1/3,1/4,18,9.0,6,3.0,5,2.5,11,5.5,3,1.5,3,1.5,3,1.5,0,0.0,0,0.0,2,1.0,2068,2
8,Elimis,14/39,11/16,3/23,1/3,32,10.666666666666666,1,0.3333333333333333,2,0.6666666666666666,3,1.0,5,1.6666666666666667,4,1.3333333333333333,8,2.6666666666666665,5,1.6666666666666667,0,0.0,6,2.0,5511,3
9,Fabian Sanchez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
10,Michael Polanco,2/8,2/7,0/1,0/0,4,4.0,3,3.0,2,2.0,5,5.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,1549,1
11,Alex,3/7,3/4,0/3,2/2,8,2.6666666666666665,1,0.3333333333333333,15,5.0,16,5.333333333333333,4,1.3333333333333333,1,0.3333333333333333,4,1.3333333333333333,7,2.3333333333333335,1,0.3333333333333333,6,2.0,3490,3
12,Joniel,5/13,4/9,1/4,2/6,13,4.333333333333333,3,1.0,9,3.0,12,4.0,7,2.3333333333333335,5,1.6666666666666667,0,0.0,9,3.0,5,1.6666666666666667,2,0.6666666666666666,2985,3
13,Jean C Orona,7/15,7/15,0/0,0/1,14,4.666666666666667,9,3.0,12,4.0,21,7.0,5,1.6666666666666667,3,1.0,2,0.6666666666666666,7,2.3333333333333335,0,0.0,1,0.3333333333333333,3091,3
14,Michael,5/17,5/15,0/2,8/10,18,6.0,10,3.3333333333333335,3,1.0,13,4.333333333333333,5,1.6666666666666667,2,0.6666666666666666,1,0.3333333333333333,4,1.3333333333333333,0,0.0,2,0.6666666666666666,3204,3
15,Angel Rosario,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
